Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
       0, 58281.00171702000,   5645.202965027005,   3728.575367360519,     -0.001760572952, -2.628939793646571488,  3.971095131097599928,  6.021642399051811090,  6768.104184820293188, 0.00077344971656189797, 0.90163606408894199308, 1.02784183557674378641, 0.58371140539788410003, 5.25534313981931389516,  0.001464364038036,  2.317558491640842, 387.259618230551553,  0.000000000000000
    3600, 58281.04338368667,  -1452.414801395833,  -5031.169586176895,  -4296.007281660469,  6.716406110199098191,  1.082017990905578083, -3.538699318657628722,  6768.104232121041317, 0.00077340505280515000, 0.90163604136770218169, 1.02787651871035725629, 0.58371138678086588198, 3.05556011535337407651, -0.690600183856500, -0.379107728474230, 403.818375781688587,  0.000000000000000
    7200, 58281.08505035334,  -3935.902987630024,   2185.871443515946,   5048.897600602922, -5.292241438390509374, -5.246999146931329581, -1.847962956821496066,  6768.103889846359976, 0.00077343425096512359, 0.90163602512705996527, 1.02788033676130953085, 0.58371136470184013101, 0.85538506563533204776,  0.844160289643390, -2.438805637608191, 398.434866044700129,  0.000000000000000
   10800, 58281.12671702000,   6087.850508604867,   2435.511732664942,  -1672.697495014165, -0.477154456446483979,  5.101591239886797529,  5.714910916021704134,  6768.104047338687592, 0.00077343434767029920, 0.90163600854171465428, 1.02786296878991742130, 0.58371135177628489388, 4.93470651871107183345, -0.249659073698922,  1.326682811208792, 390.104653402270628,  0.000000000000000
   14400, 58281.16838368667,  -3244.440716998046,  -5076.237443383955,  -3094.796070239914,  5.857704956016778629, -0.765845549264737911, -4.889898667320203454,  6768.104304653190089, 0.00077340064211128735, 0.90163598403759061441, 1.02790365776098658798, 0.58371133548533605970, 2.73558028240934464088, -0.478048952042460, -1.454945263261665, 399.273048501432072,  0.000000000000000
   18000, 58281.21005035334,  -2265.168165836858,   3531.915328024999,   5304.795169439668, -6.430515040300872157, -4.197395729387078287,  0.052612983423509884,  6768.104001311399582, 0.00077344265194670571, 0.90163596357431450646, 1.02789777205145688123, 0.58371131036871256041, 0.53455722726647843934,  0.903686112319403,  2.564180542744095, 398.619388713453247,  0.000000000000000
   21600, 58281.25171702000,   5910.440901924823,    894.368888396972,  -3175.045543620414,  1.721692270266278901,  5.711870037157904116,  4.826532697544231936,  6768.103925397179049, 0.00077343506531765890, 0.90163594764052334822, 1.02788724698453182919, 0.58371129293500906716, 4.61422041162501672109, -0.489131795631379,  0.308774028467804, 395.167655090714447,  0.000000000000000
   25200, 58281.29338368667,  -4706.864182432904,  -4605.624003366328,  -1579.199262116537,  4.403582108844493703, -2.536423444730674501, -5.744643044116675575,  6768.104280319086849, 0.00077341550547860950, 0.90163592340564690310, 1.02792300950527702122, 0.58371127860848781219, 2.41554615593994265188, -0.238044790809738, -2.470529849633224, 395.060022861589232,  0.000000000000000
   28800, 58281.33505035334,   -363.396258323537,   4517.694155665773,   5019.600687027107, -6.913194121654295944, -2.719202913577631969,  1.948523565214754925,  6768.104154914035980, 0.00077346379060851583, 0.90163589837486586922, 1.02790256983949830529, 0.58371125292132874918, 0.21366162486848812603,  0.839340594261149,  1.286722208130562, 396.652469251118816,  0.000000000000000
   32400, 58281.37671702000,   5131.472936723506,   -737.821216833806,  -4354.261049599883,  3.743786783476721967,  5.740573890393120459,  3.447735651603661829,  6768.103877398627751, 0.00077344549541730228, 0.90163588130823847113, 1.02789451084233354966, 0.58371122958259668998, 4.29390798391513952778, -0.699965198382352, -0.771420450695589, 400.923530179796103,  0.000000000000000
