Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
       0, 58281.00171702000,   5645.202965027005,   3728.575367360519,     -0.001760572952, -2.628939793646571488,  3.971095131097599928,  6.021642399051811090,  6768.104184820293188, 0.00077344971656189797, 0.90163606408894199308, 1.02784183557674378641, 0.58371140539788410003, 5.25534313981931389516,  0.001464364038036,  2.317558491640842, 387.259618230551553,  0.007854584883241
    3600, 58281.04338368667,  -1452.412242901953,  -5031.165731050153,  -4296.005730622311,  6.716409463340809077,  1.082023566381109595, -3.538698346468440158,  6768.101225893821534, 0.00077316577127560960, 0.90163621815900901280, 1.02737321756156719534, 0.58371155103437691466, 3.05606362013262483905, -0.690600421941316, -0.379107462477995, 403.813984819849395,  0.003204526629987
    7200, 58281.08505035334,  -3935.921949069579,   2185.847602428417,   5048.889770613963, -5.292219762061159121, -5.247011055439527606, -1.847988528962776324,  6768.097710489351262, 0.00077307160593537063, 0.90163633178366676371, 1.02736556833386360001, 0.58371171769247960442, 0.85590423433432347334,  0.844158964084827, -2.438798977452783, 398.432322508173456,  0.007622366713737
   10800, 58281.12671702000,   6087.833283608593,   2435.565822079109,  -1672.633169559880, -0.477238127186709967,  5.101561823735983307,  5.714941111736195214,  6768.094529400826794, 0.00077313361982822980, 0.90163636969955461196, 1.02731383542755025568, 0.58371178315572728199, 4.93526793177956895091, -0.249649669580764,  1.326691449224612, 390.092629019517290,  0.006410575363533
   14400, 58281.16838368667,  -3244.330405890091,  -5076.240117047506,  -3094.874572339184,  5.857786529205172928, -0.765722946338646816, -4.889834415312996630,  6768.090448106069310, 0.00077284270176542915, 0.90163646344821434257, 1.02677703651525572528, 0.58371194432142173753, 2.73672639739474867350, -0.478063151634269, -1.454929561383118, 399.258328605509007,  0.003778323570155
   18000, 58281.21005035334,  -2265.366838812730,   3531.773895603258,   5304.790492215090, -6.430423259054988981, -4.197543658511704434,  0.052400406094831806,  6768.086504847788849, 0.00077274301271174450, 0.90163652770959482237, 1.02702241625846036059, 0.58371207157607725631, 0.53546813331438207245,  0.903686969121308,  2.564238528429847, 398.608423940587045,  0.008175365609686
   21600, 58281.25171702000,   5910.496420075514,    894.644489558808,  -3174.803083502651,  1.721334218577343399,  5.711829716237244635,  4.826740373021424305,  6768.082057994204923, 0.00077279349325576990, 0.90163652058931446128, 1.02668514777153823108, 0.58371215098352440426, 4.61547665443373304143, -0.489093385970472,  0.308818197670407, 395.138148402071010,  0.005121191277093
   25200, 58281.29338368667,  -4706.561991192549,  -4605.770086333272,  -1579.558156547884,  4.403983027689995416, -2.536037977349022529, -5.744525790142498541,  6768.076672228136539, 0.00077240729103125901, 0.90163654181023636971, 1.02633972313192693335, 0.58371223479123621690, 2.41720129989982103350, -0.238100503729115, -2.470481811874200, 395.033588785695713,  0.004557828119281
   28800, 58281.33505035334,   -364.024473711399,   4517.429118923811,   5019.762770230611, -6.913155805950412159, -2.719738137950192155,  1.947943995882769445,  6768.072317840886438, 0.00077234168498291279, 0.90163654900988471195, 1.02670962774435173823, 0.58371225539158675479, 0.21495751710382819101,  0.839379849447762,  1.286865192382766, 396.630352211100842,  0.008306417161053
   32400, 58281.37671702000,   5131.877897780691,   -737.131104566480,  -4353.826050465595,  3.743023491540566107,  5.740711838749205142,  3.448409679019882058,  6768.067440961502481, 0.00077233344588476274, 0.90163654248305680986, 1.02625434742019967023, 0.58371224781119299580, 4.29568184905087480617, -0.699887150732351, -0.771277818029870, 400.873909950876680,  0.004144592560293
