Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
       0, 58281.00171702000,   5645.202965027005,   3728.575367360519,     -0.001760572952, -2.628939793646571488,  3.971095131097599928,  6.021642399051811090,  6768.104184820293188, 0.00077344971656189797, 0.90163606408894199308, 1.02784183557674378641, 0.58371140539788410003, 5.25534313981931389516,  0.001464364038036,  2.317558491640842, 387.259618230551553,  0.035191844332447
    3600, 58281.04338368667,  -1452.405551363119,  -5031.154427652524,  -4296.001778274573,  6.716417947247126873,  1.082039614820409692, -3.538696510700412775,  6768.092183025805046, 0.00077258741851107966, 0.90163690037792750584, 1.02599444174222903677, 0.58371208958478338388, 3.05744289348416868309, -0.690601166992763, -0.379106831110089, 403.801662639347342,  0.026209235185900
    7200, 58281.08505035334,  -3935.983062806140,   2185.761213223457,   5048.855869246440, -5.292150207712619162, -5.247059373339124058, -1.848080980575666737,  6768.075294425756637, 0.00077251377942545501, 0.90163743723053851626, 1.02680609877124544977, 0.58371292911168553143, 0.85647911420126354623,  0.844154353676599, -2.438775661317645, 398.414566044842275,  0.028829571317130
   10800, 58281.12671702000,   6087.777068325490,   2435.749141282053,  -1672.419327456429, -0.477527203288173414,  5.101454663440881364,  5.715040907510375364,  6768.056769415928778, 0.00077319329906198006, 0.90163778529074125380, 1.02743307396504481141, 0.58371349191142644973, 4.93518968047483426540, -0.249618322642145,  1.326720602108305, 390.054866120196039,  0.033467080327882
   14400, 58281.16838368667,  -3243.899667345805,  -5076.256023668835,  -3095.187923412571,  5.858093145352786035, -0.765255329288303533, -4.889585726294286763,  6768.039250509250304, 0.00077231320947459233, 0.90163831030091266052, 1.02523854631056249146, 0.58371414801719772794, 2.73834183673799983188, -0.478119180631496, -1.454867756463400, 399.208100303928347,  0.028426868844997
   18000, 58281.21005035334,  -2266.091507946451,   3531.239676746032,   5304.754924273437, -6.430102634891368778, -4.198108099450391418,  0.051609318979208453,  6768.019456251022985, 0.00077221667403744136, 0.90163866248575456024, 1.02720452346103667616, 0.58371491647760692585, 0.53541712110174251153,  0.903690179943198,  2.564452394424217, 398.544415726136492,  0.028763347979670
   21600, 58281.25171702000,   5910.715916065262,    895.660599102621,  -3173.921305274078,  1.719997635447938580,  5.711661098171156152,  4.827496977988228091,  6767.996587239722734, 0.00077305366143940469, 0.90163876461245447093, 1.02646604547979949636, 0.58371545568198860180, 4.61589465806393594877, -0.488952329119698,  0.308980661238437, 395.048170887107119,  0.030608506012091
   25200, 58281.29338368667,  -4705.380479117473,  -4606.344149451842,  -1580.965787893475,  4.405526053145229129, -2.534553722596552398, -5.744073631179121400,  6767.972937028427200, 0.00077174065927079947, 0.90163893683867542760, 1.02516336284555083398, 0.58371580005247026792, 2.41865935350805516383, -0.238318896691416, -2.470293660929146, 394.933592677219508,  0.030671524027529
   28800, 58281.33505035334,   -366.372964251409,   4516.413984587797,   5020.343864584779, -6.913043261951651908, -2.721769642845551215,  1.945767248941346447,  6767.949801999991168, 0.00077190377528379261, 0.90163907482341599424, 1.02737907589538562177, 0.58371605381047197563, 0.21467325334478820960,  0.839526728543876,  1.287400271489116, 396.513633175828318,  0.029819774416811
   32400, 58281.37671702000,   5133.429131825369,   -734.534237969387,  -4352.209176492869,  3.740112319246896142,  5.741200961289148391,  3.450942095140247010,  6767.925771290027367, 0.00077271853918625682, 0.90163912483435106591, 1.02568126220327710636, 0.58371609589565227319, 4.29675870114590218677, -0.699593033877271, -0.770740498722383, 400.721903736233628,  0.027674267169246
   36000, 58281.41838368667,  -5688.967876163034,  -3669.751303341006,     92.600388387160,  2.506367576726899093, -4.046688310723442195, -6.016021626568800189,  6767.901200778939196, 0.00077089073498280088, 0.90163924494687068127, 1.02580080348700723443, 0.58371592878773223724, 2.09835349750506502606,  0.012291988693865,  2.823162851261785, 392.390923105529566,  0.032096173829848
   39600, 58281.46005035334,   1569.439462870380,   5041.516628280085,   4225.382588046442, -6.692470876800219627, -0.969159786263783344,  3.641148496540087747,  6767.877567626409018, 0.00077174247575661752, 0.90163933369610382195, 1.02714528431887127931, 0.58371566704102575024, 6.17768859642146979556,  0.678465735530031,  0.116526672819639, 392.928686163500117,  0.031788648886805
