Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
       0, 58281.00171702000,   5645.202965027005,   3728.575367360519,     -0.001760572952, -2.628939793646571488,  3.971095131097599928,  6.021642399051811090,  6768.104184820293188, 0.00077344971656189797, 0.90163606408894199308, 1.02784183557674378641, 0.58371140539788410003, 5.25534313981931389516,  0.001464364038036,  2.317558491640842, 387.259618230551553,  0.010900336744567
    3600, 58281.04338368667,  -1452.410595330402,  -5031.163670077380,  -4296.005058035510,  6.716411236542956606,  1.082026686217522581, -3.538697677807888102,  6768.099580820369486, 0.00077305114947809169, 0.90163631037514600249, 1.02713061996707347623, 0.58371164243259188468, 3.05630637121269615108, -0.690600574289423, -0.379107268851090, 403.811677246505496,  0.006889704654831
    7200, 58281.08505035334,  -3935.933333641474,   2185.832324778138,   5048.883586143139, -5.292207062495286494, -5.247019658178395225, -1.848005088088133209,  6768.093808325485325, 0.00077296952043019812, 0.90163647246921222741, 1.02723708423613032737, 0.58371192344360729243, 0.85603551443457976219,  0.844158074439781, -2.438794792106296, 398.429375079560259,  0.011902690168372
   10800, 58281.12671702000,   6087.823851857298,   2435.597412355695,  -1672.596273240544, -0.477288072200945543,  5.101543623197664054,  5.714957996140085826,  6768.088371068587883, 0.00077313847452006499, 0.90163655472421103891, 1.02730710918334735811, 0.58371207493145495384, 4.93528172549637007913, -0.249644252368100,  1.326696458516455, 390.086338977900368,  0.009282449247325
   14400, 58281.16838368667,  -3244.259017879939,  -5076.243398572996,  -3094.926711083614,  5.857837365248137046, -0.765645656993715862, -4.889792636738586710,  6768.082536085016187, 0.00077276073679521562, 0.90163669175083583480, 1.02653953060439080474, 0.58371230665726492396, 2.73697668696653155637, -0.478072427600319, -1.454919260830096, 399.250578692481611,  0.006804792501462
   18000, 58281.21005035334,  -2265.484330198370,   3531.688416386264,   5304.784945612681, -6.430371334480413853, -4.197634352508888476,  0.052273066837527323,  6768.076440504752812, 0.00077269479196942578, 0.90163678430147629428, 1.02698913589261960934, 0.58371253533383022163, 0.53552257503194115103,  0.903687400678874,  2.564273056238490, 398.598801128480375,  0.013033742608142
   21600, 58281.25171702000,   5910.531348419859,    894.803295499991,  -3174.665382822746,  1.721124726388493723,  5.711803477776691454,  4.826858190160417402,  6768.069255517256980, 0.00077286439220961355, 0.90163679077745950843, 1.02665155025719568075, 0.58371269684772933753, 4.61554132974783084143, -0.489071312827363,  0.308843574533677, 395.124664074038833,  0.007671457399087
   25200, 58281.29338368667,  -4706.380408518043,  -4605.859136014610,  -1579.774661552282,  4.404220802664949221, -2.535809314294525403, -5.744455364805024079,  6768.060870335428327, 0.00077230090815316658, 0.90163682984955832142, 1.02603130102567991974, 0.58371283620145962708, 2.41755303985498718388, -0.238134072404187, -2.470452807786392, 395.018785302181357,  0.008686168856057
   28800, 58281.33505035334,   -364.388806410453,   4517.271756365494,   5019.852057881152, -6.913138627259669947, -2.720053145151280558,  1.947606955487156348,  6768.052569090208375, 0.00077226494831029001, 0.90163686302330420366, 1.02676070759985015653, 0.58371291057046082823, 0.21496611243965384815,  0.839402546485448,  1.286948186623072, 396.611618230283227,  0.016030444036841
   32400, 58281.37671702000,   5132.120722257166,   -736.719463630373,  -4353.567206858878,  3.742562697974010292,  5.740792063522202245,  3.448812410997011878,  6768.041763988716415, 0.00077246771812762022, 0.90163687207305721590, 1.02594228899198410476, 0.58371292039251777655, 4.29607366903965522901, -0.699840541801775, -0.771192713044150, 400.845736149484878,  0.011142519738277
   36000, 58281.41838368667,  -5690.269189287131,  -3667.894382129513,     95.439266968091,  2.502889497521212076, -4.048892649578868460, -6.015895453713058893,  6768.028638329080941, 0.00077139358351791291, 0.90163692256851477014, 1.02580826365489895496, 0.58371281746606771428, 2.09781167116853190630,  0.012713390889173,  2.822827757150243, 392.517896497646063,  0.016817579049906
   39600, 58281.46005035334,   1573.349192898660,   5042.182195791727,   4223.355180737777, -6.691239049161067434, -0.965364357618889117,  3.644253480573409126,  6768.015693849754871, 0.00077171797889684315, 0.90163695775740717691, 1.02659401357729425115, 0.58371266875132979434, 6.17758341650492739461,  0.678066011472254,  0.115856001772876, 393.058591497874886,  0.021797940980851
